
month_year,total_admissions,high_risk_patients,avg_chronic_conditions
2025-01,271,65,0.8560885608856088
2025-02,271,67,0.8560885608856088
2025-03,313,80,0.9169329073482428
2025-04,271,87,0.996309963099631
2025-05,277,62,0.8375451263537906
2025-06,288,77,0.9270833333333334
2025-07,257,67,0.8715953307392996
2025-08,294,95,1.0612244897959184
2025-09,257,63,0.9105058365758755
2025-10,271,69,0.9114391143911439
2025-11,273,69,0.8644688644688645
2025-12,308,89,1.0064935064935066
2026-01,266,82,1.0150375939849625
2026-02,249,70,0.9799196787148594
2026-03,305,82,0.8885245901639345
2026-04,287,70,0.8327526132404182
2026-05,286,77,0.9195804195804196
2026-06,256,69,0.91015625
